"Origin ID","Destination ID","Duration","Distance","Origin snap distance","Destination snap distance"
1,1,11.7153,17788.5659,188.8322,502.6552
1,2,5.4619,7019.8493,188.8322,80.7594
1,3,17.518,18432.5328,188.8322,87.6054
1,4,15.4715,20791.1264,188.8322,161.5849
1,5,10.4804,15686.5433,188.8322,159.266
2,1,13.9005,16192.562,106.0558,502.6552
2,2,7.6471,7277.1847,106.0558,80.7594
2,3,19.2196,20164.2141,106.0558,87.6054
2,4,14.3703,18874.4187,106.0558,161.5849
2,5,12.6657,14090.5394,106.0558,159.266
3,1,12.6333,17178.0223,269.2662,502.6552
3,2,6.3799,6409.3057,269.2662,80.7594
3,3,18.5587,19365.9207,269.2662,87.6054
3,4,15.0358,19942.7946,269.2662,161.5849
3,5,11.3984,15075.9997,269.2662,159.266
4,1,13.6957,15465.2505,118.2071,502.6552
4,2,6.977,6549.8732,118.2071,80.7594
4,3,19.9943,20891.5256,118.2071,87.6054
4,4,13.9201,18187.6068,118.2071,161.5849
4,5,12.4608,13363.2279,118.2071,159.266
5,1,12.6012,14515.3542,271.7865,502.6552
5,2,8.1301,7753.0405,271.7865,80.7594
5,3,19.9118,21157.7152,271.7865,87.6054
5,4,12.4999,17040.5615,271.7865,161.5849
5,5,11.3664,13329.6369,271.7865,159.266
6,1,12.8611,14573.1522,25.053,502.6552
6,2,7.1394,6702.3103,25.053,80.7594
6,3,21.1546,21980.7731,25.053,87.6054
6,4,12.7598,17098.3594,25.053,161.5849
6,5,11.6262,13324.0637,25.053,159.266
7,1,12.3487,13951.6468,238.2248,502.6552
7,2,6.8794,6458.3046,238.2248,80.7594
7,3,21.1625,22452.4511,238.2248,87.6054
7,4,12.2474,16476.854,238.2248,161.5849
7,5,11.1138,12457.7202,238.2248,159.266
8,1,11.3326,16129.9335,99.0528,502.6552
8,2,5.0792,5361.2169,99.0528,80.7594
8,3,18.7951,20221.6795,99.0528,87.6054
8,4,15.0889,19482.3815,99.0528,161.5849
8,5,10.0978,14027.9109,99.0528,159.266
9,1,11.1291,16773.732,302.9282,502.6552
9,2,4.8757,6005.0155,302.9282,80.7594
9,3,18.5916,19572.9996,302.9282,87.6054
9,4,14.8854,20131.0614,302.9282,161.5849
9,5,9.8942,14671.7094,302.9282,159.266
10,1,12.6172,15554.1332,309.5319,502.6552
10,2,6.3001,5914.437,309.5319,80.7594
10,3,20.0796,21297.0571,309.5319,87.6054
10,4,14.0148,18276.4896,309.5319,161.5849
10,5,11.3823,13452.1106,309.5319,159.266
11,1,12.1435,15998.8489,80.6687,502.6552
11,2,5.8264,5469.7213,80.6687,80.7594
11,3,19.6059,20852.3414,80.6687,87.6054
11,4,14.4885,18721.2052,80.6687,161.5849
11,5,10.9086,13896.8262,80.6687,159.266
12,1,12.3705,15176.0332,197.3521,502.6552
12,2,5.3028,4978.1826,197.3521,80.7594
12,3,20.7351,21912.4163,197.3521,87.6054
12,4,14.0747,18192.3173,197.3521,161.5849
12,5,11.1356,13074.0106,197.3521,159.266
13,1,10.6057,14643.6589,215.0659,502.6552
13,2,4.1276,3874.9423,215.0659,80.7594
13,3,20.1228,21692.6594,215.0659,87.6054
13,4,14.3619,18986.88,215.0659,161.5849
13,5,9.3708,12541.6363,215.0659,159.266
14,1,9.7334,14733.448,184.7685,502.6552
14,2,3.48,3993.4652,184.7685,80.7594
14,3,19.4998,21271.7369,184.7685,87.6054
14,4,13.4897,19534.1628,184.7685,161.5849
14,5,8.4986,12631.4254,184.7685,159.266
15,1,10.6036,15431.5519,97.9358,502.6552
15,2,4.3502,4662.8353,97.9358,80.7594
15,3,19.0935,20534.1139,97.9358,87.6054
15,4,14.3599,19742.2565,97.9358,161.5849
15,5,9.3687,13329.5293,97.9358,159.266
16,1,12.5753,14875.0149,238.3808,502.6552
16,2,5.3801,5050.7514,238.3808,80.7594
16,3,21.0652,22385.0714,238.3808,87.6054
16,4,13.7541,17891.2991,238.3808,161.5849
16,5,11.3404,12772.9923,238.3808,159.266
17,1,11.9298,14846.003,19.9037,502.6552
17,2,4.3432,4077.2865,19.9037,80.7594
17,3,20.4444,21802.3156,19.9037,87.6054
17,4,14.7151,18543.0016,19.9037,161.5849
17,5,10.6949,12743.9804,19.9037,159.266
18,1,12.1142,13927.599,270.0656,502.6552
18,2,4.5276,4250.4533,270.0656,80.7594
18,3,21.4731,22903.3631,270.0656,87.6054
18,4,13.5034,17405.5239,270.0656,161.5849
18,5,10.8794,11825.5763,270.0656,159.266
19,1,11.8175,12944.5216,207.6708,502.6552
19,2,4.2919,4029.1443,207.6708,80.7594
19,3,22.5202,23412.2545,207.6708,87.6054
19,4,13.2294,16886.0922,207.6708,161.5849
19,5,10.5826,10842.499,207.6708,159.266
20,1,11.2106,13889.6051,375.8596,502.6552
20,2,3.3244,3120.8886,375.8596,80.7594
20,3,21.2802,22722.2833,375.8596,87.6054
20,4,14.4687,18049.4793,375.8596,161.5849
20,5,9.9757,11787.5825,375.8596,159.266
21,1,10.8832,13582.2438,114.2221,502.6552
21,2,2.997,2813.5273,114.2221,80.7594
21,3,20.9192,22383.422,114.2221,87.6054
21,4,14.6395,18340.7368,114.2221,161.5849
21,5,9.6483,11480.2212,114.2221,159.266
22,1,11.4582,13004.6329,224.6763,502.6552
22,2,3.572,3353.321,224.6763,80.7594
22,3,21.993,23777.9552,224.6763,87.6054
22,4,13.2934,16946.2036,224.6763,161.5849
22,5,10.2233,10902.6103,224.6763,159.266
23,1,10.3137,13047.5611,222.3401,502.6552
23,2,2.4274,2278.8445,222.3401,80.7594
23,3,21.7256,23526.92,222.3401,87.6054
23,4,14.0699,18030.8766,222.3401,161.5849
23,5,9.0788,10945.5385,222.3401,159.266
24,1,12.2423,13601.3029,110.9006,502.6552
24,2,6.0034,5635.8916,110.9006,80.7594
24,3,22.0385,23274.8641,110.9006,87.6054
24,4,12.141,16126.5101,110.9006,161.5849
24,5,11.0074,11635.3071,110.9006,159.266
25,1,13.0665,14117.0974,270.6595,502.6552
25,2,5.5409,5201.7201,270.6595,80.7594
25,3,21.4304,22239.6787,270.6595,87.6054
25,4,13.5144,17595.0223,270.6595,161.5849
25,5,11.8316,12015.0748,270.6595,159.266
26,1,10.6878,12040.8962,109.5555,502.6552
26,2,5.3966,5066.2883,109.5555,80.7594
26,3,22.8266,24381.5266,109.5555,87.6054
26,4,10.5865,14566.1035,109.5555,161.5849
26,5,9.4529,10855.1789,109.5555,159.266
27,1,11.4535,12602.7977,30.4298,502.6552
27,2,4.7949,4501.3596,30.4298,80.7594
27,3,23.247,24400.8333,30.4298,87.6054
27,4,12.1879,15908.3723,30.4298,161.5849
27,5,10.2186,10500.7751,30.4298,159.266
28,1,11.8223,12949.0207,241.5311,502.6552
28,2,4.2967,4033.6434,241.5311,80.7594
28,3,22.5154,23407.7554,241.5311,87.6054
28,4,13.2342,16890.5914,241.5311,161.5849
28,5,10.5874,10846.9981,241.5311,159.266
29,1,9.5991,13937.6904,174.0507,502.6552
29,2,3.3457,3316.6217,174.0507,80.7594
29,3,20.478,22411.573,174.0507,87.6054
29,4,13.3553,18989.5931,174.0507,161.5849
29,5,8.3642,11835.6678,174.0507,159.266
30,1,8.8591,13209.1272,193.3734,502.6552
30,2,2.6057,2588.0585,193.3734,80.7594
30,3,20.3741,22770.2482,193.3734,87.6054
30,4,12.6154,18991.1017,193.3734,161.5849
30,5,7.6242,11107.1046,193.3734,159.266
31,1,8.9235,11742.4391,194.1934,502.6552
31,2,1.0372,973.7225,194.1934,80.7594
31,3,22.8953,25011.8047,194.1934,87.6054
31,4,12.6797,17376.7657,194.1934,161.5849
31,5,7.6886,9640.4165,194.1934,159.266
32,1,9.9329,12690.0922,220.9733,502.6552
32,2,2.0467,1921.3756,220.9733,80.7594
32,3,21.4435,23318.0169,220.9733,87.6054
32,4,13.6891,18291.1972,220.9733,161.5849
32,5,8.698,10588.0696,220.9733,159.266
33,1,10.5516,12107.2005,169.2056,502.6552
33,2,2.6654,2502.2433,169.2056,80.7594
33,3,22.9077,24645.9639,169.2056,87.6054
33,4,13.6226,16916.6242,169.2056,161.5849
33,5,9.3168,10005.1779,169.2056,159.266
34,1,10.5803,12080.2813,443.174,502.6552
34,2,2.6941,2529.1625,443.174,80.7594
34,3,22.9364,24672.8831,443.174,87.6054
34,4,13.594,16889.7051,443.174,161.5849
34,5,9.3454,9978.2587,443.174,159.266
35,1,9.4015,12191.2139,114.6238,502.6552
35,2,1.5153,1422.4974,114.6238,80.7594
35,3,22.6279,24383.2672,114.6238,87.6054
35,4,13.1577,17211.4736,114.6238,161.5849
35,5,8.1666,10089.1913,114.6238,159.266
36,1,10.42,11108.3186,82.2024,502.6552
36,2,6.1386,5762.8512,82.2024,80.7594
36,3,23.8615,25353.052,82.2024,87.6054
36,4,10.3187,13633.5258,82.2024,161.5849
36,5,9.1851,9922.6013,82.2024,159.266
37,1,9.0686,9839.6203,152.039,502.6552
37,2,5.6848,5336.8163,152.039,80.7594
37,3,25.2129,26621.7503,152.039,87.6054
37,4,8.9673,12364.8275,152.039,161.5849
37,5,7.8337,8653.903,152.039,159.266
38,1,10.9927,12170.2011,301.5174,502.6552
38,2,3.4671,3254.8239,301.5174,80.7594
38,3,24.221,25482.4972,301.5174,87.6054
38,4,12.3093,16022.323,301.5174,161.5849
38,5,9.7578,10068.1785,301.5174,159.266
39,1,9.43,10703.1503,550.0752,502.6552
39,2,3.4752,3262.4393,550.0752,80.7594
39,3,25.122,26289.6219,550.0752,87.6054
39,4,11.4932,14736.1429,550.0752,161.5849
39,5,8.1951,8601.1277,550.0752,159.266
40,1,10.0697,11303.7617,399.707,502.6552
40,2,4.115,3863.0507,399.707,80.7594
40,3,24.4823,25689.0105,399.707,87.6054
40,4,12.133,15336.7543,399.707,161.5849
40,5,8.8349,9201.7391,399.707,159.266
41,1,9.0448,10341.5482,313.0191,502.6552
41,2,3.09,2900.8372,313.0191,80.7594
